ts,current_bytes,peak_bytes
1781155547,2386075648,2566107136
1781155548,2385977344,2566107136
1781155549,2385739776,2566107136
1781155550,2277515264,2566107136
1781155551,2241622016,2566107136
1781155552,2241855488,2566107136
1781155553,2241597440,2566107136
1781155554,2241867776,2566107136
1781155555,2241617920,2566107136
1781155556,2241695744,2566107136
1781155557,2241449984,2566107136
1781155558,2241445888,2566107136
1781155559,2241736704,2566107136
1781155560,2240491520,2566107136
1781155561,2240495616,2566107136
1781155562,2240475136,2566107136
1781155563,2242048000,2566107136
1781155564,2242195456,2566107136
1781155565,2081488896,2566107136
1781155566,2081492992,2566107136
1781155567,2081771520,2566107136
1781155568,2081554432,2566107136
1781155569,2081546240,2566107136
1781155570,2081558528,2566107136
1781155571,2081533952,2566107136
1781155572,2081558528,2566107136
1781155573,2079797248,2566107136
1781155574,2079797248,2566107136
1781155575,2079965184,2566107136
1781155576,2079961088,2566107136
1781155577,2079965184,2566107136
1781155578,2080038912,2566107136
1781155579,2080026624,2566107136
1781155580,2080034816,2566107136
1781155581,2080030720,2566107136
1781155582,2080030720,2566107136
1781155583,2080444416,2566107136
1781155584,2080702464,2566107136
1781155585,2080460800,2566107136
1781155586,2080460800,2566107136
1781155587,2080432128,2566107136
1781155588,2080423936,2566107136
1781155589,2080423936,2566107136
1781155590,2080686080,2566107136
1781155591,2080583680,2566107136
1781155592,2080583680,2566107136
1781155593,2080350208,2566107136
1781155594,2109603840,2566107136
1781155596,2080223232,2566107136
1781155597,2080235520,2566107136
1781155598,2080235520,2566107136
1781155599,2080436224,2566107136
1781155600,2080428032,2566107136
1781155601,2080436224,2566107136
1781155602,2109112320,2566107136
1781155603,2080505856,2566107136
1781155604,2080505856,2566107136
1781155605,2080505856,2566107136
1781155606,2080681984,2566107136
1781155607,2080677888,2566107136
1781155608,2080677888,2566107136
1781155609,2080677888,2566107136
1781155610,2115891200,2566107136
1781155611,2115895296,2566107136
1781155612,2115792896,2566107136
1781155613,2115915776,2566107136
1781155614,2115944448,2566107136
1781155615,2115911680,2566107136
1781155616,2115915776,2566107136
1781155617,2116112384,2566107136
1781155618,2116124672,2566107136
1781155619,2116120576,2566107136
1781155620,2116124672,2566107136
1781155621,2116120576,2566107136
1781155622,2116128768,2566107136
1781155623,2116124672,2566107136
1781155624,2116128768,2566107136
1781155625,2116132864,2566107136
1781155626,2081103872,2566107136
1781155627,2080833536,2566107136
1781155628,2080837632,2566107136
1781155629,2080837632,2566107136
