ts,rss_kb
# launch 2026-06-10T23:28:52+00:00 fresh=0
1781198598,240628
1781198603,240504
1781198608,240504
1781198613,240504
1781198618,339088
1781198624,2016516
1781198629,2104872
1781198634,2173184
1781198639,2139136
1781198644,2139372
1781198649,2108296
1781198654,2143556
1781198659,2109504
1781198664,2109568
1781198669,2132568
1781198674,2140416
1781198679,2109908
1781198684,2109984
1781198689,2110200
1781198694,2110308
1781198699,2144748
1781198704,2144900
1781198709,2144832
1781198714,2144928
1781198719,2144984
1781198724,2111016
1781198730,2111076
1781198735,2111248
1781198740,2111320
1781198745,2111348
1781198750,2111456
1781198755,2179324
1781198760,2179324
1781198765,2178340
1781198770,2178192
1781198775,2178192
1781198780,2178192
1781198785,2178136
1781198790,2178120
1781198795,2178120
1781198800,2178120
1781198805,2178120
1781198810,2178120
1781198815,2178164
1781198820,2178148
1781198825,2178148
1781198831,2178924
1781198836,2178924
1781198841,2178224
1781198846,2178224
1781198851,2178224
1781198856,2178224
1781198861,2178368
1781198866,2178364
1781198871,2178364
1781198876,2185064
1781198881,2184324
1781198886,2158312
1781198891,2146076
1781198896,2146076
1781198901,2146076
1781198906,2146076
1781198911,2146076
1781198916,2146076
1781198921,2153600
1781198927,2153580
1781198932,2153052
1781198937,2152880
1781198942,2152884
1781198947,2148832
1781198952,2148832
1781198957,2148832
1781198962,2148832
1781198967,2148832
1781198972,2148832
1781198977,2148832
1781198982,2148832
1781198987,2148836
1781198992,2148836
1781198997,2148836
1781199002,2148836
1781199007,2148836
1781199012,2148744
1781199017,2148740
1781199022,2148740
1781199028,2148740
1781199033,2148740
1781199038,2148740
1781199043,2148820
1781199048,2148824
1781199053,2148824
1781199058,2148824
1781199063,2148824
1781199068,2148824
1781199073,2156916
1781199078,2153124
1781199083,2153064
1781199088,2153064
1781199093,2153064
1781199098,2153052
1781199103,2153052
1781199108,2153052
1781199113,2153004
1781199118,2153004
1781199123,2153004
1781199129,2153004
1781199134,2153004
1781199139,2153004
1781199144,2153004
1781199149,2153004
1781199154,2153484
1781199159,2153592
1781199164,2153596
1781199169,2153604
1781199174,2153604
1781199179,2153604
1781199184,2153604
1781199189,2153604
1781199194,2153604
1781199199,2153604
1781199204,2153604
1781199209,2153604
1781199214,2153604
1781199219,2153428
1781199224,2153428
1781199229,2153428
1781199235,2153428
1781199240,2153428
1781199245,2153428
1781199250,2153428
1781199255,2153428
1781199260,2153428
1781199265,2153428
1781199270,2153428
1781199275,2153428
1781199280,2153416
1781199285,2153416
1781199290,2153416
1781199295,2153416
1781199300,2153416
1781199305,2153412
1781199310,2153416
1781199315,2153416
1781199320,2153416
1781199325,2153420
1781199330,2153420
1781199335,2153416
1781199341,2153416
1781199346,2153416
1781199351,2153416
1781199356,2153456
1781199361,2164876
1781199366,2164876
1781199371,2163780
1781199376,2163780
1781199381,2163780
1781199386,2163780
1781199391,2163780
1781199396,2163780
1781199401,2163824
1781199406,2167832
1781199411,2167832
1781199416,2167048
1781199421,2167052
1781199426,2167052
1781199431,2167052
1781199436,2167088
1781199441,2167092
1781199447,2167092
1781199452,2167096
1781199457,2170992
1781199462,2170988
1781199467,2169976
1781199472,2169976
1781199477,2169976
1781199482,2169976
1781199487,2169976
1781199492,2169976
1781199497,2169976
1781199502,2171944
1781199507,2171924
1781199512,2171920
1781199517,2171404
1781199522,2171240
1781199527,2171240
1781199532,2171240
1781199537,2171240
1781199542,2171240
1781199547,2170828
1781199552,2170828
1781199558,2170828
1781199563,2170828
1781199568,2170828
1781199573,2170816
1781199578,2170816
1781199583,2170816
1781199588,2170816
1781199593,2170816
1781199598,2170624
1781199603,2170624
1781199608,2170624
1781199613,2170624
1781199618,2170624
1781199623,2170624
1781199628,2170660
1781199633,2170660
1781199638,2172660
1781199643,2172660
1781199648,2172660
1781199653,2172748
1781199658,2172748
1781199663,2172744
1781199668,2172744
1781199673,2176908
1781199679,2176904
1781199684,2176208
1781199689,2176200
1781199694,2176200
1781199699,2176196
1781199704,2176236
1781199709,2176240
1781199714,2176244
1781199719,2176232
1781199724,2176284
1781199729,2176288
1781199734,2176296
1781199739,2176284
1781199744,2176284
1781199749,2176292
1781199754,2176424
1781199759,2176540
1781199764,2176724
1781199769,2176720
1781199774,2176720
1781199779,2176720
1781199784,2176720
1781199789,2176720
1781199794,2176724
1781199800,2176720
1781199805,2179604
1781199810,2179608
1781199815,2179200
1781199820,2178500
1781199825,2178500
1781199830,2178500
1781199835,2178500
1781199840,2178500
1781199845,2178500
1781199850,2178500
1781199855,2178500
1781199860,2178500
1781199865,2178500
1781199870,2178504
1781199875,2178504
1781199880,2188848
1781199885,2188844
1781199890,2188004
1781199895,2188004
1781199900,2188004
1781199905,2188004
1781199910,2187992
1781199916,2187992
1781199921,2187996
1781199926,2187996
1781199931,2187996
1781199936,2187992
1781199941,2187992
1781199946,2187992
1781199951,2187996
1781199956,2187996
1781199961,2187996
1781199966,2187996
1781199971,2187828
1781199976,2187828
1781199981,2187828
1781199986,2187828
1781199991,2187828
1781199996,2187828
1781200001,2187860
1781200006,2187860
1781200011,2187860
1781200017,2187860
1781200022,2187860
1781200027,2187860
1781200032,2187828
